ID,LATITUDE,LONGITUDE,NAME,CITY,STATE,COUNTY,COUNTRY,STATUS
53391362,34.1549388720001,-118.815736391,LOS ROBLES HOSPITAL & MEDICAL CENTER - EAST CAMPUS,WESTLAKE VILAGE,CA,VENTURA,USA,OPEN
11190023,34.023647302,-118.184164805,EAST LOS ANGELES DOCTORS HOSPITAL,LOS ANGELES,CA,LOS ANGELES,USA,OPEN
17090028,34.0963913570001,-118.325234871,SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD,HOLLYWOOD,CA,LOS ANGELES,USA,OPEN
23691706,34.063038932,-117.967437788,KINDRED HOSPITAL BALDWIN PARK,BALDWIN PARK,CA,LOS ANGELES,USA,OPEN
25190712,33.8597066200001,-118.148402965,LAKEWOOD REGIONAL MEDICAL CENTER,LAKEWOOD,CA,LOS ANGELES,USA,OPEN
30791016,34.1487586590001,-117.992667657,MONROVIA MEMORIAL HOSPITAL,MONROVIA,CA,LOS ANGELES,USA,OPEN
30891754,34.0494660590001,-118.138262231,MONTEREY PARK HOSPITAL,MONTEREY PARK,CA,LOS ANGELES,USA,OPEN
47090505,33.823914464,-118.356096947,STAR VIEW ADOLESCENT - P H F,TORRANCE,CA,LOS ANGELES,USA,OPEN
9092879,33.8580833070001,-117.553858035,CORONA REGIONAL MEDICAL CENTER-MAGNOLIA,CORONA,CA,RIVERSIDE,USA,OPEN
30696101,41.4800562550001,-120.545743987,MODOC MEDICAL CENTER,ALTURAS,CA,MODOC,USA,OPEN
38593901,36.659030456,-121.645983804,SALINAS VALLEY MEMORIAL HOSPITAL,SALINAS,CA,MONTEREY,USA,OPEN
15992866,33.7827271730001,-117.833891865,HEALTHBRIDGE CHILDREN'S HOSPITAL-ORANGE,ORANGE,CA,ORANGE,USA,OPEN
16192680,33.7474607400001,-117.831055631,HEALTHSOUTH TUSTIN REHABILITATION HOSPITAL,TUSTIN,CA,ORANGE,USA,OPEN
23792621,33.934495886,-117.893948792,KINDRED HOSPITAL BREA,BREA,CA,ORANGE,USA,OPEN
24392683,33.7635332090001,-117.995255963,KINDRED HOSPITAL WESTMINSTER,WESTMINSTER,CA,ORANGE,USA,OPEN
22093277,36.320843946,-119.348234528,KAWEAH DELTA MENTAL HEALTH HOSPITAL D/P APH,VISALIA,CA,TULARE,USA,OPEN
5870563,30.006906977,-91.794523853,DAUTERIVE HOSPITAL,NEW IBERIA,LA,IBERIA,USA,OPEN
13177954,31.32360364,-95.4388993059999,CROCKETT MEDICAL CENTER,CROCKETT,TX,HOUSTON,USA,OPEN
4671360,31.3273789420001,-92.4401351129999,CENTRAL LOUISIANA STATE HOSPITAL,PINEVILLE,LA,RAPIDES,USA,OPEN
15671222,32.8239916700001,-92.656648681,REEVES MEMORIAL MEDICAL CENTER,BERNICE,LA,UNION,USA,OPEN
16971241,32.776127934,-92.4056258479999,SERENITY SPRINGS SPECIALTY HOSPITAL,FARMERVILLE,LA,UNION,USA,OPEN
15371373,31.5611748630001,-91.4260669829999,RIVERBRIDGE SPECIALTY HOSPITAL,VIDALIA,LA,CONCORDIA,USA,OPEN
5371418,32.0600399510001,-92.099137669,CITIZENS MEDICAL CENTER,COLUMBIA,LA,CALDWELL,USA,OPEN
70990806,33.8070928700001,-118.193389929,COLLEGE MEDICAL CENTER,LONG BEACH,CA,LOS ANGELES,USA,OPEN
71794577,37.706406198,-122.164654518,KAISER FOUNDATION HOSPITAL - SAN LEANDRO,SAN LEANDRO,CA,ALAMEDA,USA,OPEN
72590723,33.8846318610001,-118.162267066,KINDRED HOSPITAL PARAMOUNT,PARAMOUNT,CA,LOS ANGELES,USA,OPEN
73790650,33.928031349,-118.067989672,DEPARTMENT OF STATE HOSPITAL-METROPOLITAN,NORWALK,CA,LOS ANGELES,USA,OPEN
196162274,38.084846,-89.3491079999999,PINCKNEYVILLE COMMUNITY HOSPITAL,PINCKNEYVILLE,IL,PERRY,USA,OPEN
85531419,31.985430321,-81.154556369,ST JOSEPH'S HOSPITAL - SAVANNAH,SAVANNAH,GA,CHATHAM,USA,OPEN
86630165,34.259713445,-85.1802396319999,KINDRED HOSPITAL ROME,ROME,GA,FLOYD,USA,OPEN
87130286,32.886297701,-84.3365069879999,UPSON REGIONAL MEDICAL CENTER,THOMASTON,GA,UPSON,USA,OPEN
87531719,32.0669623380001,-84.2560501999999,PHOEBE SUMTER MEDICAL CENTER,AMERICUS,GA,SUMTER,USA,OPEN
87931830,32.887980741,-84.6923449,ROOSEVELT WARM SPRINGS LTAC HOSPITAL,WARM SPRINGS,GA,MERIWETHER,USA,OPEN
90030265,33.3848346460001,-84.757746692,SOUTHEASTERN REGIONAL MEDICAL CENTER,NEWNAN,GA,COWETA,USA,OPEN
196500984,18.3804430000001,-65.95579,DOCTORS CENTER HOSPITAL SANFERNANDO DE CAROLINA,CAROLINA,PR,METRO,PRI,OPEN
2054311,44.522712261,-87.924827084,BROWN CTY COMMUNITY TREATMENT CENTER,GREEN BAY,WI,BROWN,USA,OPEN
151253226,43.0358121520001,-88.037265823,WHEATON FRANCISCAN WI HEART SPINE AND ORTHO,WAUWATOSA,WI,MILWAUKEE,USA,OPEN
196600956,18.3676556610001,-66.154391259,HOSPITAL PSIQUIATRICO DE NINOS YADOLESCENTES,BAYAMON,PR,BAYAMON,PRI,OPEN
159171301,31.252191558,-92.481987814,COMPASS BEHAVIORAL CENTER OF ALEXANDRIA,ALEXANDRIA,LA,RAPIDES,USA,OPEN
163570394,29.7026714240001,-90.565253898,OCSHNER ST. ANNE GENERAL HOSPITAL,RACELAND,LA,LAFOURCHE,USA,OPEN
164970748,30.832635688,-91.210660488,FELICIANA FORENSIC FACILITY,JACKSON,LA,EAST FELICIANA,USA,OPEN
160970056,29.865979474,-90.03069185,UNITED MEDICAL HEALTHWEST-NEW ORLEANS,GRETNA,LA,JEFFERSON,USA,OPEN
152354971,43.8343760920001,-88.817751529,RIPON MEDICAL CENTER,RIPON,WI,FOND DU LAC,USA,OPEN
13402908,41.8321390840001,-71.4331495449999,VA MEDICAL CENTER - PROVIDENCE,PROVIDENCE,RI,PROVIDENCE,USA,OPEN
15954660,44.00308068,-90.493319014,TOMAH VA MEDICAL CENTER,TOMAH,WI,MONROE,USA,OPEN
5854452,45.1756325370001,-89.681831276,ASCENSION GOOD SAMARITAN HLTH CTR,MERRILL,WI,LINCOLN,USA,OPEN
58796001,40.586595392,-122.411974107,RESTPADD PSYCHIATRIC HEALTH FACILITY,REDDING,CA,SHASTA,USA,OPEN
59093436,34.6353716090001,-120.452188325,THE CHAMPION CENTER,LOMPOC,CA,SANTA BARBARA,USA,OPEN
21891761,34.0320795600001,-117.60859933,KAISER FND HOSP ONTARIO MEDICAL CENTER CAMPUS,ONTARIO,CA,SAN BERNARDINO,USA,OPEN
25692354,34.047305635,-117.251636776,LOMA LINDA UNIV. MED. CENTER EAST CAMPUS HOSPITAL,LOMA LINDA,CA,SAN BERNARDINO,USA,OPEN
44792404,34.1346723570001,-117.277019975,ST. BERNARDINE MEDICAL CENTER,SAN BERNARDINO,CA,SAN BERNARDINO,USA,OPEN
20092120,32.7915625750001,-117.095159549,KAISER FND HOSP - SAN DIEGO,SAN DIEGO,CA,SAN DIEGO,USA,OPEN
40992037,32.896858901,-117.24287107,SCRIPPS GREEN HOSPITAL,LA JOLLA,CA,SAN DIEGO,USA,OPEN
41092024,33.0373447760001,-117.284183383,SCRIPPS MEMORIAL HOSPITAL - ENCINITAS,ENCINITAS,CA,SAN DIEGO,USA,OPEN
42292123,32.7982957780001,-117.154977819,SHARP MARY BIRCH HOSPITAL FOR WOMEN AND NEWBORNS,SAN DIEGO,CA,SAN DIEGO,USA,OPEN
51092103,32.754770233,-117.165731384,UC SAN DIEGO HEALTH HILLCREST - HILLCREST MEDICAL CENTER,SAN DIEGO,CA,SAN DIEGO,USA,OPEN
4894118,37.786509197,-122.456030633,CALIFORNIA PACIFIC MED CTR-CALIFORNIA WEST,SAN FRANCISCO,CA,SAN FRANCISCO,USA,OPEN
5094115,37.7907045380001,-122.431294533,CALIFORNIA PACIFIC MED CTR-PACIFIC CAMPUS,SAN FRANCISCO,CA,SAN FRANCISCO,USA,OPEN
46594117,37.77408876,-122.453751642,"ST. MARY'S MEDICAL CENTER, SAN FRANCISCO",SAN FRANCISCO,CA,SAN FRANCISCO,USA,OPEN
20595403,38.471793006,-122.72706436,KAISER FND HOSP - SANTA ROSA,SANTA ROSA,CA,SONOMA,USA,OPEN
19594590,38.12690208,-122.248377304,KAISER FND HOSP - REHABILITATION CENTER VALLEJO,VALLEJO,CA,SOLANO,USA,OPEN
53195695,38.663925024,-121.792145249,WOODLAND MEMORIAL HOSPITAL,WOODLAND,CA,YOLO,USA,OPEN
1294609,37.8201396110001,-122.26400415,ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-SUMMIT,OAKLAND,CA,ALAMEDA,USA,OPEN
39794578,37.712288347,-122.143493689,SAN LEANDRO HOSPITAL,SAN LEANDRO,CA,ALAMEDA,USA,OPEN
46694545,37.6334419930001,-122.087912534,ST. ROSE HOSPITAL,HAYWARD,CA,ALAMEDA,USA,OPEN
45995204,37.9765963,-121.291070926,ST. JOSEPH'S BEHAVIORAL HEALTH CENTER,STOCKTON,CA,SAN JOAQUIN,USA,OPEN
46095204,37.970467188,-121.288182762,ST. JOSEPH'S MEDICAL CENTER OF STOCKTON,STOCKTON,CA,SAN JOAQUIN,USA,OPEN
13291741,34.132654576,-117.871259716,FOOTHILL PRESBYTERIAN HOSPITAL-JOHNSTON MEMORIAL,GLENDORA,CA,LOS ANGELES,USA,OPEN
14791204,34.128165628,-118.256643169,GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER,GLENDALE,CA,LOS ANGELES,USA,OPEN
19090027,34.0985736490001,-118.294175331,KAISER FOUNDATION LOS ANGELES MEDICAL CENTER,LOS ANGELES,CA,LOS ANGELES,USA,OPEN
19391402,34.2185641940001,-118.430219294,KAISER PERMANENTE PANORAMA CITY,PANORAMA CITY,CA,LOS ANGELES,USA,OPEN
